repo,stars,forks,pull_requests,pScore,pScore_normalized,popular,s_num_nodes,s_weighted_mean_degree,s_num_component,s_avg_clustering_coef,s_largest_component,s_graph_density,t_num_dev_nodes,t_num_file_nodes,t_num_dev_per_file,t_num_file_per_dev,t_graph_density,proj_name,month,st_num_dev,t_net_overlap,s_net_overlap
wave,217,98,27,1044,0.0126207371767749,1,8,7.5,1,0.6011904761904762,8,0.3571428571428571,0,0,0.0,0.0,0.0,wave,46,0,0.0,0.0
wave,217,98,27,1044,0.0126207371767749,1,3,2.6666666666666665,1,0.0,3,0.6666666666666666,0,0,0.0,0.0,0.0,wave,47,0,0.0,0.0
wave,217,98,27,1044,0.0126207371767749,1,7,4.0,2,0.0,5,0.238095238095238,0,0,0.0,0.0,0.0,wave,48,0,0.0,0.1428571428571428
wave,217,98,27,1044,0.0126207371767749,1,0,0.0,0,0.0,0,0.0,1,2,1.0,2.0,1.0,wave,49,0,0.0,0.0
wave,217,98,27,1044,0.0126207371767749,1,2,2.0,1,0.0,2,1.0,2,73,1.0136986301369864,37.0,0.5068493150684932,wave,50,0,0.0,0.0
wave,217,98,27,1044,0.0126207371767749,1,31,13.290322580645162,1,0.26131592421915,31,0.1354838709677419,2,65,1.0,32.5,0.5,wave,51,2,0.0215827338129496,0.0
wave,217,98,27,1044,0.0126207371767749,1,21,18.095238095238095,1,0.5153465582037011,21,0.1952380952380952,2,3,1.3333333333333333,2.0,0.6666666666666666,wave,52,2,0.0144927536231884,0.125
wave,217,98,27,1044,0.0126207371767749,1,15,9.866666666666667,1,0.0,15,0.1523809523809524,2,6,1.0,3.0,0.5,wave,53,1,0.1,0.0701754385964912
wave,217,98,27,1044,0.0126207371767749,1,7,8.0,1,0.2857142857142857,7,0.3809523809523809,1,1,1.0,1.0,1.0,wave,54,1,0.0,0.0416666666666666
wave,217,98,27,1044,0.0126207371767749,1,7,3.4285714285714284,1,0.0,7,0.2857142857142857,2,68,1.0,34.0,0.5,wave,55,1,0.0,0.0
wave,217,98,27,1044,0.0126207371767749,1,5,7.2,1,0.4666666666666666,5,0.5,0,0,0.0,0.0,0.0,wave,56,0,0.0,0.0909090909090909
wave,217,98,27,1044,0.0126207371767749,1,11,5.454545454545454,2,0.1363636363636363,6,0.1818181818181818,1,5,1.0,5.0,1.0,wave,57,1,0.0,0.0
wave,217,98,27,1044,0.0126207371767749,1,14,8.285714285714286,1,0.2630952380952381,14,0.2307692307692307,2,2486,1.0,1243.0,0.5,wave,58,1,0.0,0.0
wave,217,98,27,1044,0.0126207371767749,1,6,12.0,1,0.4166666666666667,6,0.4666666666666667,2,30,1.9333333333333331,29.0,0.9666666666666668,wave,59,1,0.0109631949882537,0.1785714285714285
wave,217,98,27,1044,0.0126207371767749,1,8,20.5,1,0.5833333333333333,8,0.4642857142857143,2,8,1.0,4.0,0.5,wave,60,2,0.0,0.05
wave,217,98,27,1044,0.0126207371767749,1,11,9.454545454545457,1,0.3434343434343434,11,0.2545454545454545,0,0,0.0,0.0,0.0,wave,61,0,0.0,0.1851851851851851
wave,217,98,27,1044,0.0126207371767749,1,5,11.2,1,0.5333333333333333,5,0.6,2,2490,1.0060240963855422,1252.5,0.5030120481927711,wave,62,2,0.0,0.2
wave,217,98,27,1044,0.0126207371767749,1,14,12.285714285714286,1,0.5613378684807256,14,0.2857142857142857,3,53,1.0,17.666666666666668,0.3333333333333333,wave,63,2,0.0019546520719311,0.0625
wave,217,98,27,1044,0.0126207371767749,1,17,19.294117647058822,1,0.4386554621848739,17,0.25,0,0,0.0,0.0,0.0,wave,64,0,0.0,0.2
wave,217,98,27,1044,0.0126207371767749,1,5,10.4,1,0.0,5,0.4,0,0,0.0,0.0,0.0,wave,65,0,0.0,0.0263157894736842
wave,217,98,27,1044,0.0126207371767749,1,5,4.0,1,0.0,5,0.4,0,0,0.0,0.0,0.0,wave,66,0,0.0,0.125
wave,217,98,27,1044,0.0126207371767749,1,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,wave,67,0,0.0,0.0
