repo,stars,forks,pull_requests,pScore,pScore_normalized,popular
curator,3133,1246,30,5279,0.06381692677796448,1
nuttx,3121,1258,30,5279,0.06381692677796448,1
nutch,2988,1252,30,5140,0.06213657958680383,1
Heron,3630,593,30,5123,0.06193106949867627,1
Parquet,2754,1453,30,5107,0.061737648239262095,1
flume,2545,1575,30,5020,0.060685920141197516,1
ambari,2182,1698,30,4780,0.05778460124998489,1
activemq,2345,1455,30,4700,0.056817494952914015,1
age,3361,421,30,4682,0.056599896036073065,1
pdfbox,2774,886,30,4560,0.055125058933039976,1
netbeans,2764,879,30,4543,0.054919548844912416,1
tika,2836,805,30,4541,0.05489537118748564,1
cloudstack,2267,1149,30,4316,0.052175384726973806,1
fineract,1486,1807,30,4193,0.05068845879522733,1
