s_num_nodes,s_weighted_mean_degree,s_num_component,s_avg_clustering_coef,s_largest_component,s_graph_density,t_num_dev_nodes,t_num_file_nodes,t_num_dev_per_file,t_num_file_per_dev,t_graph_density,proj_name,month,st_num_dev,t_net_overlap,s_net_overlap
44,14.545454545454545,3,0.12213203463203465,32,0.05391120507399577,3,52,1.1538461538461537,20.0,0.38461538461538464,oozie,10,2,0.10752688172043011,0.10317460317460317
45,12.444444444444445,2,0.2671634538301205,33,0.06363636363636363,3,246,1.089430894308943,89.33333333333333,0.36314363143631434,oozie,11,3,0.06097560975609756,0.07017543859649122
36,15.555555555555555,2,0.2787477954144621,25,0.09206349206349207,0,0,0.0,0.0,0.0,oozie,12,0,0.0,0.09090909090909091
2,2.0,1,0.0,2,1.0,3,605,1.9487603305785124,393.0,0.6495867768595042,openaz,0,0,0.0,0.0
0,0.0,0,0.0,0,0.0,2,580,1.9793103448275862,574.0,0.9896551724137931,openaz,1,0,0.24495058014611087,0.0
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,openaz,2,0,0.0,0.0
10,27.2,1,0.4280952380952381,10,0.37777777777777777,2,21,1.0,10.5,0.5,openaz,3,1,0.0,0.0
6,10.0,1,0.4166666666666667,6,0.4666666666666667,1,32,1.0,32.0,1.0,openaz,4,0,0.0,0.20833333333333334
3,5.333333333333333,1,0.0,3,0.6666666666666666,0,0,0.0,0.0,0.0,openaz,5,0,0.0,0.1111111111111111
9,8.88888888888889,1,0.36666666666666664,9,0.2777777777777778,0,0,0.0,0.0,0.0,openaz,6,0,0.0,0.08333333333333333
4,4.0,1,0.0,4,0.5,0,0,0.0,0.0,0.0,openaz,7,0,0.0,0.15384615384615385
5,4.0,1,0.0,5,0.4,0,0,0.0,0.0,0.0,openaz,8,0,0.0,0.14285714285714285
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,openaz,9,0,0.0,0.0
2,4.0,1,0.0,2,1.0,1,1,1.0,1.0,1.0,openaz,10,0,0.0,0.0
3,2.6666666666666665,1,0.0,3,0.6666666666666666,4,152,1.9671052631578947,74.75,0.4917763157894737,openaz,11,1,0.0,0.3333333333333333
0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,openaz,12,0,0.0,0.0
9,20.444444444444443,1,0.7047619047619048,9,0.5,2,10,2.0,10.0,1.0,openaz,13,1,0.0,0.0
6,9.333333333333334,1,0.25,6,0.4666666666666667,0,0,0.0,0.0,0.0,openaz,14,0,0.0,0.16
13,26.76923076923077,1,0.5195804195804196,13,0.3333333333333333,2,14,1.7142857142857142,12.0,0.8571428571428571,openaz,15,1,0.0,0.0
12,19.333333333333332,1,0.5218253968253969,12,0.3333333333333333,1,152,1.0,152.0,1.0,openaz,16,0,0.0,0.16666666666666666
2,2.0,1,0.0,2,1.0,0,0,0.0,0.0,0.0,openaz,17,0,0.0,0.043478260869565216
7,6.285714285714286,1,0.3,7,0.3333333333333333,0,0,0.0,0.0,0.0,openaz,18,0,0.0,0.125
10,6.8,1,0.21000000000000002,10,0.24444444444444444,1,5,1.0,5.0,1.0,openjpa,0,1,0.0,0.0
11,10.909090909090908,1,0.3303030303030303,11,0.2727272727272727,1,71,1.0,71.0,1.0,openjpa,1,1,0.013157894736842105,0.11538461538461539
12,16.666666666666668,1,0.3541666666666667,12,0.30303030303030304,0,0,0.0,0.0,0.0,openjpa,2,0,0.0,0.02857142857142857
38,27.157894736842106,1,0.4017586983653465,38,0.11379800853485064,2,12,1.0833333333333333,6.5,0.5416666666666666,openjpa,3,0,0.0,0.11
27,10.814814814814815,1,0.2177248677248677,27,0.09686609686609686,0,0,0.0,0.0,0.0,openjpa,4,0,0.0,0.13157894736842105
29,17.655172413793103,2,0.2913270637408569,26,0.11576354679802955,0,0,0.0,0.0,0.0,openjpa,5,0,0.0,0.13580246913580246
29,17.79310344827586,4,0.25271146478043033,20,0.11576354679802955,0,0,0.0,0.0,0.0,openjpa,6,0,0.0,0.24468085106382978
25,18.08,4,0.291062049062049,16,0.13333333333333333,5,26,1.1923076923076923,6.2,0.23846153846153847,openjpa,7,3,0.0,0.10344827586206896
37,25.62162162162162,2,0.2694968077321019,24,0.11411411411411411,0,0,0.0,0.0,0.0,openjpa,8,0,0.0,0.13793103448275862
48,31.833333333333332,1,0.3655364068193015,48,0.08599290780141844,0,0,0.0,0.0,0.0,openjpa,9,0,0.0,0.14450867052023122
50,17.84,2,0.27728487886382625,32,0.06612244897959184,0,0,0.0,0.0,0.0,openjpa,10,0,0.0,0.10674157303370786
64,33.1875,1,0.3933748288068141,64,0.06944444444444445,0,0,0.0,0.0,0.0,openjpa,11,0,0.0,0.12669683257918551
46,16.17391304347826,5,0.1813010787839163,25,0.057004830917874394,5,233,1.0171673819742488,47.4,0.2034334763948498,openmeetings,0,3,0.0,0.0
65,13.415384615384616,4,0.1752055352055352,43,0.04278846153846154,4,118,1.4152542372881356,41.75,0.3538135593220339,openmeetings,1,3,0.1782178217821782,0.07432432432432433
91,13.494505494505495,4,0.13719949518268845,45,0.028327228327228327,3,154,1.0844155844155845,55.666666666666664,0.36147186147186144,openmeetings,2,1,0.12574850299401197,0.07804878048780488
86,20.13953488372093,4,0.1967682337359035,46,0.03146374829001368,4,180,1.1277777777777778,50.75,0.28194444444444444,openmeetings,3,1,0.08378378378378379,0.09090909090909091
133,27.157894736842106,1,0.21032355531420796,133,0.02563226247436774,4,177,1.1864406779661016,52.5,0.2966101694915254,openmeetings,4,3,0.11864406779661017,0.10588235294117647
73,40.21917808219178,2,0.41567520021643717,59,0.05593607305936073,4,200,1.155,57.75,0.28875,openmeetings,5,3,0.22675736961451248,0.11559139784946236
69,27.47826086956522,2,0.28598713969557954,57,0.052429667519181586,3,83,1.0481927710843373,29.0,0.3493975903614458,openmeetings,6,3,0.07547169811320754,0.15925925925925927
84,27.333333333333332,2,0.35691713848002166,69,0.04589787722317843,5,255,1.2156862745098038,62.0,0.24313725490196078,openmeetings,7,3,0.11586901763224182,0.14840989399293286
89,32.89887640449438,2,0.354984416332731,86,0.04647599591419816,6,195,1.2256410256410257,39.833333333333336,0.20427350427350427,openmeetings,8,4,0.17486338797814208,0.12573099415204678
61,27.60655737704918,2,0.37726092258396976,55,0.059562841530054644,3,218,1.3073394495412844,95.0,0.43577981651376146,openmeetings,9,1,0.07824427480916031,0.13745704467353953
64,20.3125,2,0.15993918305958746,59,0.043154761904761904,3,190,1.3263157894736841,84.0,0.4421052631578947,openmeetings,10,1,0.2122905027932961,0.10714285714285714
47,10.72340425531915,2,0.16079715028400884,43,0.061979648473635525,2,62,1.1451612903225807,35.5,0.5725806451612904,openmeetings,11,1,0.11455108359133127,0.07792207792207792
59,17.559322033898304,5,0.24721083161761126,50,0.05026300409117475,3,133,1.1578947368421053,51.333333333333336,0.38596491228070173,openmeetings,12,2,0.12444444444444444,0.058823529411764705
29,30.06896551724138,1,0.442325641690433,29,0.14532019704433496,6,161,1.15527950310559,31.0,0.19254658385093168,opennlp,0,4,0.0,0.0
31,19.870967741935484,1,0.45023237468059196,31,0.1053763440860215,3,101,1.0198019801980198,34.333333333333336,0.33993399339933994,opennlp,1,3,0.16262975778546712,0.12962962962962962
18,12.444444444444445,2,0.21652421652421655,16,0.13725490196078433,2,13,1.0,6.5,0.5,opennlp,2,2,0.008620689655172414,0.14285714285714285
17,16.0,2,0.2392156862745098,15,0.1323529411764706,2,14,1.0,7.0,0.5,opennlp,3,2,0.0,0.1794871794871795
21,19.428571428571427,2,0.4156874871160585,16,0.1380952380952381,2,7,1.1428571428571428,4.0,0.5714285714285714,opennlp,4,2,0.0,0.1276595744680851
25,14.88,2,0.22563636363636363,19,0.10666666666666667,3,229,1.0131004366812226,77.33333333333333,0.33770014556040756,opennlp,5,2,0.0,0.19672131147540983
24,29.833333333333332,3,0.44785353535353534,18,0.13768115942028986,3,20,1.05,7.0,0.35,opennlp,6,2,0.015810276679841896,0.17142857142857143
23,23.304347826086957,2,0.21138716356107662,17,0.1067193675889328,2,107,1.0467289719626167,56.0,0.5233644859813084,opennlp,7,1,0.06015037593984962,0.12307692307692308
24,25.0,1,0.16775599128540306,24,0.09782608695652174,3,205,1.2048780487804878,82.33333333333333,0.4016260162601626,opennlp,8,2,0.11420612813370473,0.14814814814814814
24,13.333333333333334,3,0.1449074074074074,15,0.09057971014492754,3,57,1.0,19.0,0.3333333333333333,opennlp,9,2,0.06907894736842106,0.11538461538461539
47,10.72340425531915,5,0.09456264775413711,22,0.04995374653098982,3,55,1.0,18.333333333333332,0.3333333333333333,opennlp,10,2,0.13392857142857142,0.08860759493670886
58,23.586206896551722,2,0.18525899387968356,30,0.049606775559588624,2,339,1.0029498525073746,170.0,0.5014749262536873,opennlp,11,2,0.04050632911392405,0.11029411764705882
40,10.6,5,0.13183531746031746,26,0.057692307692307696,3,142,1.0,47.333333333333336,0.3333333333333333,opennlp,12,3,0.07676348547717843,0.13385826771653545
34,12.352941176470589,3,0.18973134708428827,25,0.08377896613190731,4,56,1.0,14.0,0.25,opennlp,13,4,0.005050505050505051,0.15217391304347827
98,49.59183673469388,1,0.4326588449876942,98,0.09867452135493372,18,39,3.2051282051282053,6.944444444444445,0.17806267806267806,openoffice,0,16,0.0,0.0
108,39.51851851851852,1,0.37429611652549427,108,0.0796123226029768,21,33,2.8484848484848486,4.476190476190476,0.13564213564213565,openoffice,1,14,0.2237442922374429,0.15069967707212056
97,68.0,1,0.4846308555292619,97,0.1015893470790378,18,1191,1.1343408900083962,75.05555555555556,0.06301893833379979,openoffice,2,11,0.02560553633217993,0.1564844587352626
123,54.40650406504065,1,0.4748252246316423,123,0.0702385712381714,11,628,1.1369426751592357,64.9090909090909,0.10335842501447597,openoffice,3,9,0.03970944309927361,0.156
122,48.75409836065574,1,0.38289129896332647,122,0.062186695569706005,14,772,1.0660621761658031,58.785714285714285,0.07614729829755737,openoffice,4,8,0.008458035133376708,0.1460446247464503
156,41.48717948717949,1,0.35743795161843817,156,0.04524400330851944,34,6164,1.0249837767683323,185.8235294117647,0.030146581669656832,openoffice,5,12,0.003080801008262148,0.1411530815109344
159,32.60377358490566,1,0.33431772206022925,159,0.038452352519703845,18,952,1.1460084033613445,60.611111111111114,0.06366713352007469,openoffice,6,12,0.007423403968146849,0.14854368932038836
197,26.01015228426396,4,0.27962644309470785,191,0.02558790013467316,21,1414,1.2927864214992928,87.04761904761905,0.06156125816663299,openoffice,7,13,0.025351147653305928,0.14124872057318322
175,22.697142857142858,3,0.31306468304206564,170,0.02876847290640394,18,346,1.3757225433526012,26.444444444444443,0.07642903018625562,openoffice,8,12,0.032552083333333336,0.1298283261802575
312,26.94871794871795,4,0.26385686531384744,306,0.017767334487591723,18,402,1.0597014925373134,23.666666666666668,0.05887230514096186,openoffice,9,13,0.05543237250554324,0.10846153846153846
241,26.107883817427386,4,0.24939545076276048,233,0.021265560165975105,19,304,1.1414473684210527,18.263157894736842,0.06007617728531856,openoffice,10,14,0.028460543337645538,0.12254570074475288
357,31.025210084033613,4,0.26814428096302667,351,0.018805274918956345,28,425,1.2164705882352942,18.464285714285715,0.043445378151260504,openoffice,11,16,0.06828703703703703,0.09723756906077348
322,23.652173913043477,6,0.1900069098825534,311,0.017859561540991855,26,472,1.1165254237288136,20.26923076923077,0.04294328552803129,openoffice,12,13,0.06609195402298851,0.1052880075542965
289,21.826989619377162,7,0.2271988340863904,276,0.017829680891964628,27,563,1.0799289520426287,22.51851851851852,0.03999736859417143,openoffice,13,15,0.04052863436123348,0.11051051051051052
292,22.84931506849315,4,0.22782490255291743,283,0.016593701454596807,33,421,1.173396674584323,14.969696969696969,0.03555747498740373,openoffice,14,18,0.07531760435571688,0.11472011057360056
252,21.73015873015873,4,0.24120144689802028,244,0.021090242205780055,29,467,1.1670235546038543,18.79310344827586,0.040242191538063944,openoffice,15,14,0.12800769971126083,0.09402332361516035
2,2.0,1,0.0,2,1.0,1,53,1.0,53.0,1.0,openwebbeans,0,1,0.0,0.0
7,13.714285714285714,2,0.38095238095238093,5,0.3333333333333333,1,122,1.0,122.0,1.0,openwebbeans,1,1,0.045714285714285714,0.125
8,71.5,1,0.5083333333333333,8,0.39285714285714285,3,356,1.0702247191011236,127.0,0.35674157303370785,openwebbeans,2,3,0.18091451292246521,0.2222222222222222
