project_id,incubation_length,active_devs,num_commits,num_committers,num_files,num_emails,num_senders,num_respondents,skew_c,skew_e,c_percentage,e_percentage,inactive_c,inactive_e,c_nodes,c_edges,c_c_coef,c_mean_degree,c_long_tail,c_triangles,e_nodes,e_edges,e_c_coef,e_mean_degree,e_long_tail,e_triangles,e_bidirected_edges
201,49.5,165,5336,23,2086,8596,143,145,-1.513438326560882,-0.4893392547291821,0.7528110944527736,0.7305723592368544,0.32907991940899933,0.04566823371390195,23,102,0.7535014162487578,8.869565217391305,13,241.0,150,801,0.4888297223550668,10.68,25,2456.0,1308
202,10.1,122,17641,21,2311,3796,114,112,0.8122430984128544,0.2912657192947656,0.8830565160705175,0.6896733403582719,0.09025270758122744,0.02356902356902357,21,112,0.8482557334061094,10.666666666666666,16,333.0,114,472,0.41327102642135455,8.280701754385966,25,664.0,807
203,20.366666666666667,155,12524,8,1595,4170,148,144,-0.1854983753873493,0.06626810023990853,0.6347013733631428,0.8299760191846522,0.049206349206349205,0.019448946515397084,8,26,0.9404761904761906,6.5,7,45.0,153,446,0.385957062136224,5.830065359477124,11,577.0,724
204,18.0,137,10127,16,559,2603,130,126,-0.24722462946209955,-0.3707998527432699,0.7282512096376025,0.7499039569727238,0.09706959706959707,0.03290676416819013,16,71,0.8473935786435787,8.875,12,165.0,130,335,0.4787389520019749,5.153846153846154,5,307.0,492
205,22.0,42,1544,3,298,413,39,37,1.5752891880166289,0.03900570116222856,0.9857512953367875,0.6707021791767555,0.38362068965517243,0.1490015360983103,3,3,1.0,2.0,0,1.0,39,68,0.28189128878784053,3.4871794871794872,4,25.0,111
206,31.7,97,5503,29,882,4362,83,82,0.15353725305640148,-0.04955830213175273,0.33018353625295294,0.6325080238422742,0.04055496264674493,0.0273109243697479,28,308,0.9195151484126639,22.0,26,2215.0,84,311,0.4381930489603636,7.404761904761905,19,538.0,456
207,10.966666666666667,57,666,3,137,3284,57,54,0.16336047467242834,-0.18700104711971804,0.7882882882882883,0.7975030450669914,0.5907172995780591,0.02476780185758514,2,1,0.0,1.0,0,0.0,57,157,0.39094034620350404,5.508771929824562,9,167.0,234
208,21.9,359,15085,15,2416,4741,350,346,0.5157690959013314,0.031623337757623125,0.7700364600596619,0.7489981016663151,0.05076923076923077,0.0352760736196319,15,59,0.8225863025863025,7.866666666666666,12,112.0,354,728,0.28294649252770687,4.112994350282486,1,352.0,1204
209,26.0,554,15001,19,2881,14739,541,525,0.3345045801659923,0.6511769762824812,0.3949070061995867,0.7970011534025375,0.03076923076923077,0.017948717948717947,19,117,0.8701808253665839,12.31578947368421,16,459.0,550,2094,0.41701578643834386,7.614545454545454,12,4309.0,3160
210,28.5,157,4027,5,562,3853,152,152,0.23157271279414826,0.25312995778650355,0.4087409982617333,0.8473916428756813,0.12427745664739884,0.05696969696969697,5,9,0.9,3.6,3,7.0,156,402,0.39878506079198545,5.153846153846154,4,350.0,610
211,31.366666666666667,44,439,8,152,1093,36,35,-2.123302851635667,-1.0804399841682522,0.7927107061503417,0.6184812442817932,0.6331168831168831,0.22611464968152867,5,4,0.0,1.6,2,0.0,36,99,0.45797194619658377,5.5,10,81.0,154
212,16.5,51,206,3,92,1307,51,49,0.1389891584459633,0.862128052223728,0.6262135922330098,0.827850038255547,0.39408866995073893,0.13267326732673268,0,0,0,0,0,0,51,117,0.3664123795969637,4.588235294117647,7,75.0,151
213,21.566666666666666,194,6859,6,1519,11658,189,191,0.7352849761001551,0.2876253019100381,0.4419011517713953,0.8395093498027106,0.025954198473282442,0.013740458015267175,6,14,0.9333333333333332,4.666666666666667,4,16.0,194,744,0.5369458590320526,7.670103092783505,5,1279.0,1188
214,12.166666666666666,90,1438,9,340,2869,81,83,-0.29323051187979593,-0.5704206577574421,0.6063977746870653,0.7466016033461136,0.0972972972972973,0.03723404255319149,9,23,0.7833333333333333,5.111111111111111,7,31.0,85,275,0.4819679893434968,6.470588235294118,11,364.0,458
215,6.2,96,2315,10,215,1107,87,94,0.3750356759938226,0.42590279884798027,0.3347732181425486,0.7506775067750677,0.028735632183908046,0.032432432432432434,10,34,0.9031746031746032,6.8,8,62.0,97,207,0.2527339264089888,4.268041237113402,11,190.0,330
